year,clt,scenario
1850,40.745132,historical
1851,38.961884,historical
1852,39.36144,historical
1853,42.37635,historical
1854,38.387596,historical
1855,40.391674,historical
1856,43.29375,historical
1857,34.94955,historical
1858,38.45588,historical
1859,41.07036,historical
1860,44.99717,historical
1861,38.01136,historical
1862,42.39112,historical
1863,40.057453,historical
1864,40.165123,historical
1865,41.315228,historical
1866,34.20118,historical
1867,36.539402,historical
1868,42.26529,historical
1869,31.727894,historical
1870,39.195393,historical
1871,46.01342,historical
1872,36.50719,historical
1873,36.5234,historical
1874,37.505066,historical
1875,38.339043,historical
1876,32.307415,historical
1877,36.295086,historical
1878,41.19216,historical
1879,42.293297,historical
1880,37.536644,historical
1881,42.337467,historical
1882,35.716095,historical
1883,34.84115,historical
1884,33.563957,historical
1885,35.20105,historical
1886,35.259113,historical
1887,38.035896,historical
1888,38.32786,historical
1889,42.369396,historical
1890,40.083626,historical
1891,37.69704,historical
1892,41.895576,historical
1893,40.012367,historical
1894,33.7352,historical
1895,36.441425,historical
1896,40.75326,historical
1897,38.93977,historical
1898,35.33957,historical
1899,42.59018,historical
1900,37.161247,historical
1901,36.278553,historical
1902,35.32811,historical
1903,40.670662,historical
1904,41.913616,historical
1905,34.20341,historical
1906,37.81292,historical
1907,39.559284,historical
1908,41.728695,historical
1909,36.885048,historical
1910,35.67114,historical
1911,36.91291,historical
1912,38.1221,historical
1913,35.086357,historical
1914,41.262753,historical
1915,42.49001,historical
1916,45.685936,historical
1917,40.513996,historical
1918,38.52881,historical
1919,42.535004,historical
1920,36.53056,historical
1921,39.887188,historical
1922,44.78789,historical
1923,41.847664,historical
1924,39.45449,historical
1925,35.926598,historical
1926,37.408062,historical
1927,38.058525,historical
1928,43.70408,historical
1929,39.38627,historical
1930,43.798943,historical
1931,37.80653,historical
1932,39.8012,historical
1933,40.362988,historical
1934,40.84318,historical
1935,37.41697,historical
1936,38.169746,historical
1937,37.072163,historical
1938,43.39621,historical
1939,42.669636,historical
1940,39.117947,historical
1941,37.934734,historical
1942,44.730297,historical
1943,41.56302,historical
1944,37.821426,historical
1945,34.418453,historical
1946,38.484093,historical
1947,39.164318,historical
1948,40.43903,historical
1949,40.44227,historical
1950,40.443386,historical
1951,38.010475,historical
1952,40.03553,historical
1953,39.15725,historical
1954,39.84725,historical
1955,32.890026,historical
1956,43.000175,historical
1957,38.958405,historical
1958,42.954933,historical
1959,42.783844,historical
1960,37.260468,historical
1961,40.7111,historical
1962,40.48509,historical
1963,38.166695,historical
1964,37.61399,historical
1965,38.209644,historical
1966,44.373238,historical
1967,43.864048,historical
1968,40.768097,historical
1969,31.128895,historical
1970,44.896996,historical
1971,39.33072,historical
1972,34.753593,historical
1973,35.184303,historical
1974,35.06672,historical
1975,37.22468,historical
1976,39.950653,historical
1977,45.74906,historical
1978,45.14097,historical
1979,41.779224,historical
1980,41.68943,historical
1981,43.501137,historical
1982,37.908783,historical
1983,41.924885,historical
1984,34.704773,historical
1985,38.043804,historical
1986,37.807823,historical
1987,43.40053,historical
1988,38.626537,historical
1989,44.42225,historical
1990,45.18104,historical
1991,40.955708,historical
1992,35.40957,historical
1993,40.879875,historical
1994,44.114513,historical
1995,36.62356,historical
1996,38.05433,historical
1997,35.71023,historical
1998,41.735054,historical
1999,40.228355,historical
2000,39.891636,historical
2001,39.365593,historical
2002,40.46931,historical
2003,38.553078,historical
2004,40.181812,historical
2005,41.57384,historical
2006,39.784447,historical
2007,38.782543,historical
2008,43.000134,historical
2009,40.1618,historical
2010,42.130535,historical
2011,47.568764,historical
2012,39.520744,historical
2013,39.395596,historical
2014,37.525597,historical
2015,32.054535,future
2016,42.349133,future
2017,44.312687,future
2018,34.869442,future
2019,38.67124,future
2020,40.488537,future
2021,41.089687,future
2022,41.573505,future
2023,36.62431,future
2024,39.70537,future
2025,41.79374,future
2026,36.25641,future
2027,37.271904,future
2028,40.51638,future
2029,39.37565,future
2030,34.758095,future
2031,40.30993,future
2032,39.323982,future
2033,44.06295,future
2034,36.921368,future
2035,42.97805,future
2036,43.833813,future
2037,42.801643,future
2038,35.230556,future
2039,32.59055,future
2040,42.799232,future
2041,47.420643,future
2042,40.20691,future
2043,40.500557,future
2044,38.46289,future
2045,46.7631,future
2046,44.41775,future
2047,45.380207,future
2048,40.391228,future
2049,33.084713,future
2050,38.777428,future
2051,39.399925,future
2052,37.817574,future
2053,43.49422,future
2054,39.75885,future
2055,38.183388,future
2056,40.76103,future
2057,39.87064,future
2058,36.942146,future
2059,41.81349,future
2060,43.371136,future
2061,40.085743,future
2062,34.759583,future
2063,38.794575,future
2064,45.00549,future
2065,38.94209,future
2066,40.140278,future
2067,42.033062,future
2068,46.85192,future
2069,35.071667,future
2070,35.072964,future
2071,40.022617,future
2072,44.92794,future
2073,47.749676,future
2074,40.993977,future
2075,36.348522,future
2076,41.73951,future
2077,41.608143,future
2078,41.920433,future
2079,39.0253,future
2080,40.470997,future
2081,43.44181,future
2082,44.14501,future
2083,38.093575,future
2084,42.531433,future
2085,45.67683,future
2086,44.66435,future
2087,41.079674,future
2088,41.47344,future
2089,41.760246,future
2090,44.560974,future
2091,36.04783,future
2092,41.122368,future
2093,38.690228,future
2094,40.10789,future
2095,40.329224,future
2096,46.273155,future
2097,41.11457,future
2098,43.55378,future
2099,39.898903,future
2100,37.961132,future
